# type=tepai
# delta=0.0007669903939428206
# N_tepai=1000
# n_samples=10
# tepai_start_time=3.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.0661557981644474
# gamma_final=1.0575166635465207
# expected_num_gates=217787.80282188885
time,observable,rms_error,max_bond_dim,gate_count,overhead
3.0,-0.1697227353393893,8.237854842718662e-14,8.0,7200000.0,1.0
3.1,-0.22080320151562366,0.005116933253547025,16.0,7221830.7,1.0064265086783784
3.2,-0.267158096147741,0.006115414666320885,16.0,7243646.5,1.0128943173705498
3.3,-0.31039874006345863,0.007665613269947272,16.0,7265450.6,1.0194036914914117
3.4,-0.34734693166605063,0.008909051772112745,16.0,7287279.8,1.0259548981615523
3.5,-0.3814959975409426,0.009326861816034699,16.0,7309067.3,1.032548206218212
3.6,-0.4091865851321927,0.007799241245474312,16.0,7330772.3,1.0391838862263174
3.7,-0.430164356494978,0.009252838990358767,16.0,7352611.6,1.0458622104895816
3.8,-0.44622205285955124,0.00848436661624148,16.0,7374373.2,1.0525834530616807
3.9,-0.45558218143722307,0.008590857377850336,16.0,7396179.1,1.059347889757499
4.0,-0.45777861793516594,0.010818854431397932,16.0,7417907.1,1.0661557981644474
