# type=bd_tepai
# delta=0.02454369260617026
# N_tepai=1000
# n_samples=100
# tepai_start_time=0.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.2380862401684627
# gamma_final=1.2369822503529628
# expected_num_gates=709.2040282447434
time,observable,rms_error,max_bond_dim,cost,gate_count,overhead
0.0,0.9999999999999999,0.0,1.0,9.0,0.0,1.0
0.1,0.999174811792204,0.40611124568309265,4.92,540.61,71.87,1.0215863694290448
0.2,0.9952173082072548,0.5815378183671042,7.42,1578.69,142.44,1.0436387102032167
0.30000000000000004,0.9443428907849036,0.8290494903911286,9.07,2809.97,214.47,1.0661670809521153
0.4,0.9308493709219293,0.9346568299863885,10.34,3917.49,285.88,1.0891817574346339
0.5,0.9134166586303989,1.0308498476294916,11.22,4847.79,356.69,1.1126932372259941
0.6000000000000001,0.84880180288932,1.1993472678629356,11.98,5680.14,427.41,1.1367122445059543
0.7000000000000001,0.823658646431845,1.2790704689912378,12.58,6466.53,497.14,1.1612497349503785
0.8,0.7951373902983727,1.3520921574929252,13.24,7287.73,567.87,1.1863169007283978
0.9,0.7612630937952851,1.421722199237005,14.03,8335.1,639.96,1.2119251756074405
1.0,0.7733038919872156,1.4300380740776764,14.7,9378.68,710.52,1.2380862401684627
